,resourceId,Start,Ende,KndNr,AKNR,SchrittNr
0,SL 6,2016-02-26 11:48:21,2016-02-26 12:54:32,11052,39473,1
1,SL 2,2016-02-26 11:54:52,2016-02-26 14:10:06,12403,39961,1
2,SL 7,2016-02-26 11:58:29,2016-02-26 12:41:03,12516,38882,1
4,SL 5,2016-02-26 12:02:33,2016-02-26 12:04:27,11356,39611,1
5,SL 5,2016-02-26 12:04:27,2016-02-26 12:35:18,11356,39611,1
15,SL 5,2016-02-26 12:44:25,2016-02-26 13:28:08,11680,39469,1
18,SL 6,2016-02-26 12:54:32,2016-02-26 13:06:31,11052,39473,1
20,SL 9,2016-02-26 12:57:14,2016-02-26 13:21:05,10883,39648,1
28,SL 6,2016-02-26 13:06:31,2016-02-26 14:15:01,11052,39473,1
29,SL 5,2016-02-26 13:28:08,2016-02-26 13:50:59,11680,39469,1
